EICV7 Sector,% Of Youth working for Wage Male,% Of Youth working for Wage Female,Total
,,,
 EICV7,,,
,,,
 public,3.465196077548105,3.429524579337274,3.44721919683708
 private,90.73217842850586,87.8458611294341,89.27760028118537
Household (Domestic workers),5.802625493946208,8.724614291228798,7.275180521978367
Total,100.0,100.0,100.0
